movies,year,genre,rating,brief summary,votes,director,actor,count_actors,count_directors,rating category,voting category
The Old Guard,2020,"Action, Adventure, Fantasy            ",6.7,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,141605,Gina Prince,"Charlize Theron, KiKi Layne, Matthias Schoenaerts, Marwan Kenzari",4,1,Moderate,Very Popular
Venom,2018,"Action, Adventure, Sci-Fi            ",6.7,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",390167,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze",4,1,Moderate,Very Popular
6 Underground,2019,"Action, Thriller            ",6.1,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.",150455,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia",3,1,Moderate,Very Popular
The Fate of the Furious,2017,"Action, Adventure, Crime            ",6.6,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",215795,F,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez",4,1,Moderate,Very Popular
Rurôni Kenshin: Sai shûshô - The Beginning,2021,"Action, Adventure, Drama            ",7.8,"Kenshin Himura goes up against a mysterious weapons dealer named Enishi Yukishiro. He controls the underworld of China. The secret of Kenshin Himura's ""Jujishou"" is also revealed.",1976,Keishi Ohtomo,"Masanobu Andô, Towa Araki, Kasumi Arimura, Kentez Asaka",4,1,High,Popular
Run,2020,"Mystery, Thriller            ",6.7,A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.,55389,Aneesh Chaganty,"Sarah Paulson, Kiera Allen, Sara Sohn, Pat Healy",4,1,Moderate,Very Popular
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family            ",8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",682809,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi",4,1,High,Very Popular
Wish Dragon,2021,"Animation, Adventure, Comedy            ",7.2,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,15262,Chris Appelhans,"Will Yun Lee, Constance Wu, Natasha Liu Bordizzo, John Cho",4,1,High,Very Popular
The Girl in the Spider's Web,2018,"Action, Crime, Drama            ",6.1,"Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.",43896,Fede Alvarez,"Claire Foy, Beau Gadsdon, Sverrir Gudnason, LaKeith Stanfield",4,1,Moderate,Very Popular
Kong: Skull Island,2017,"Action, Adventure, Fantasy            ",6.6,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",294292,Jordan Vogt,"Tom Hiddleston, Samuel L",2,1,Moderate,Very Popular
